date_requested,uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,ticker
2024-02-22,53abfb6d-d283-4fa7-878a-e2a877f3ba62,"Nvidia’s surge ripples across stock market — lifting AI, tech and semiconductor ETFs",Several exchange-traded funds that buy stocks with exposure to artificial intelligence surged Thursday after closely watched AI beneficiary Nvidia Corp. beat...,"article_normal, stocks, ai, nvidia, etf, tech, Computers/Electronics, Software, Artificial Intelligence Technologies, Semiconductors, Banking, Trusts/Funds/Financial Vehicles, Financial Investment Services, Market Research/Public Relations, Public Relations, Advertising/Marketing/Public Relations, Business/Consumer Services, Banking/Credit, Computing, Computer Hardware, Exchange Traded Funds, Financial Services, Industrial Electronics, Industrial Goods, Internet/Online Services, Integrated Circuits, Investing/Securities, Technology, Graphics Processing Units, Private Banking/Wealth Management, Financial Performance, Ownership Changes, Acquisitions/Mergers/Shareholdings, Information Technology, Corporate Actions, Corporate/Industrial News, Artificial Intelligence/Machine Learning, Political/General News, Computer Science, Sciences/Humanities, Equity Markets, Fund Markets, Commodity/Financial Market News, Content Types, Factiva Filters, C&E Exclusion Filter, C&E Industry News Filter, AI, Nvidia, ETF, NVIDIA Corp., NVDA, Invesco AI & Next Gen Software ETF, IGPT, Vanguard Information Technology ETF, VGT, Roundhill Magnificent Seven ETF, MAGS, iShares U.S. Technology ETF, IYW, Roundhill Generative AI & Technology ETF, CHAT, Global X Artificial Intelligence & Technology ETF, AIQ, Global X Robotics & Artificial Intelligence ETF, BOTZ, ROBO Global Robotics & Automation Index ETF, ROBO, WisdomTree Artificial Intelligence & Innovation Fund, WTAI, VanEck Semiconductor ETF, SMH, ROBO Global Artificial Intelligence ETF, THNQ, iShares Robotics & Artificial Intelligence Multisector ETF, IRBO, Technology Select Sector SPDR ETF, XLK, iShares Semiconductor ETF, SOXX, S&P 500 Information Technology Sector Index, XX:SP500.45, financial performance, ownership changes, acquisitions, mergers, shareholdings, information technology, corporate actions, corporate, industrial news, artificial intelligence, machine learning, political, general news, computer science, sciences, humanities, equity markets, fund markets, commodity, financial market news, content types, factiva filters, c&e exclusion filter, c&e industry news filter, computers, electronics, software, artificial intelligence technologies, semiconductors, banking, trusts, funds, financial vehicles, financial investment services, market research, public relations, advertising, marketing, business, consumer services, credit, computing, computer hardware, exchange traded funds, financial services, industrial electronics, industrial goods, internet, online services, integrated circuits, investing, securities, technology, graphics processing units, private banking, wealth management",Several exchange-traded funds that buy stocks with exposure to artificial intelligence surged Thursday after closely watched AI beneficiary Nvidia Corp. beat ea...,https://www.marketwatch.com/story/nvidias-surge-ripples-across-stock-market-lifting-ai-tech-and-semiconductor-etfs-69f6e766?g=ada1d742-0897-4736-a074-bd9cddf0a526&mod=mw_rss_bulletins,https://images.mktw.net/im-89200862/social,en,2024-02-22 22:11:53+00:00,marketwatch.com,,AAPL
2024-02-22,1cdf3b18-b119-4b97-b44c-3962bb65a44b,Nvidia adds $372 billion in stock market value in Wall Street’s biggest one-day gain in history,The rise in Nvidia’s market value on Feb 22 eclipsed the entire value of Coca-Cola. Read more at straitstimes.com.,,"OAKLAND, California - Nvidia added US$277 billion (S$372 billion) in stock market value on Feb 22, Wall Street’s largest one-day gain in history after the hea...",https://www.straitstimes.com/business/nvidia-adds-372-billion-in-stock-market-value-in-wall-street-s-biggest-one-day-gain-in-history,https://static1.straitstimes.com.sg/s3fs-public/styles/large30x20/public/articles/2024/02/23/2024-02-22T122001Z1403033189RC2KOZ9WD1J2RTRMADP3NVIDIA-RESULTS-FRANKFURT-SHARES.JPG,en,2024-02-22 23:17:00+00:00,straitstimes.com,,AAPL
2024-02-22,e19661e6-e94e-45a4-93eb-c1bee27ea900,Adobe: Do Not Ignore Figma And The Long-Term Gen AI Threat (NASDAQ:ADBE),"Adobe Inc. stock underperforms market, cancels Figma acquisition. Questions remain on its high valuation. Click for my ADBE update amidst all the turmoil.",,"Frazao Studio Latino/E+ via Getty Images

Adobe Inc. (NASDAQ:ADBE) was a big winner in 2023, as the company benefited from both a broader tech recovery as well ...",https://seekingalpha.com/article/4672663-adobe-do-not-ignore-figma-and-the-long-term-gen-ai-threat,https://media.gettyimages.com/id/1480560243/photo/young-man-drawing-on-a-paper-at-tattoo-studio.jpg?b=1&s=170667a&w=0&k=20&c=GNDNhW7iRflZA1N8IV1mSAq1LBlbzugd9Yh8x3DBk-U=,en,2024-02-22 23:44:08+00:00,seekingalpha.com,,AAPL
2024-03-05,4ad9573e-9020-44cd-9e18-c9c24b522c5c,"Market Today: CrowdStrike Soars on Earnings Beat, ChargePoint Tumbles After Disappointing Results","Market Overview The stock market experienced a downturn, with major indices falling over 1.0%, led by a decline in tech stocks. The drop was more pronounced in","GuruFocus, Article, News, GuruFocus Research, CRWD, CHPT, TSLA, AAPL, JWN, MDB, ROST, ARDX, PLTR, SOFI, ALB, BOX","Market Overview

The stock market experienced a downturn, with major indices falling over 1.0%, led by a decline in tech stocks. The drop was more pronounced in...",https://www.gurufocus.com/news/2373691/market-today-crowdstrike-soars-on-earnings-beat-chargepoint-tumbles-after-disappointing-results,https://static.gurufocus.com/1732803573856661504.png,en,2024-03-05 22:40:28+00:00,gurufocus.com,,AAPL
2024-03-05,0883e662-3559-47e7-885d-f872f948b893,Asia Stocks Set for Mixed Open After US Tech Slide: Markets Wrap,Stocks in Asia were set for a mixed open after tech heavyweights dragged down US indexes in the run-up to Federal Reserve Chair Jerome Powell’s testimony to…,,"This advertisement has not loaded yet, but your article continues below.

Asia Stocks Set for Mixed Open After US Tech Slide: Markets Wrap Stocks in Asia were s...",https://financialpost.com/pmn/business-pmn/asia-stocks-set-for-mixed-open-after-us-tech-slide-markets-wrap,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2024/03/us-spot-etfs-help-drive-bitcoin-to-a-record-high.jpg,en,2024-03-05 23:07:09+00:00,financialpost.com,,AAPL
2024-03-05,daa840df-b288-4add-9b7a-459220eddc40,Dow Jones Futures: Face-Ripping CrowdStrike Rally To The Rescue; Fed Chief Powell On Tap,Dow Jones futures: CrowdStrike surged on earnings after software and bitcoin plays led Tuesday's sell-off. Fed chief Jerome Powell is on tap.,,"Dow Jones futures were little changed after hours, along with S&P 500 futures and Nasdaq futures. CrowdStrike (CRWD) soared overnight, headlining key earnings r...",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-crowdstrike-soars-bitcoin-hit-fed-chief-powell-on-tap/?src=A00220&yptr=yahoo,https://www.investors.com/wp-content/uploads/2022/06/Stock-jeromepowell2022-05-gov.jpg,en,2024-03-05 23:14:10+00:00,finance.yahoo.com,,AAPL
2024-03-12,b9ec8186-d086-46c5-bfc3-871894a9a803,General Motors' executive vice president for software and services Mike Abbott to step down By Reuters,General Motors' executive vice president for software and services Mike Abbott to step down,,"Published Mar 12, 2024 05:29PM ET Updated Mar 12, 2024 05:56PM ET

© Reuters. FILE PHOTO: The new GM logo is seen on the facade of the General Motors headquart...",https://www.investing.com/news/stock-market-news/general-motors-executive-vice-president-for-software-and-services-mike-abbott-to-step-down-3335089,https://i-invdn-com.investing.com/news/LYNXMPEB2O03P_L.jpg,en,2024-03-12 21:31:20+00:00,investing.com,,AAPL
2024-03-12,04e2da53-1410-46bb-9b5d-d1006302093c,Zscaler: This Is A Dip Well Worth Buying (NASDAQ:ZS),Zscaler has unveiled several products based on AI which are being used to identify threats and to create remediation strategies. Learn more on ZS stock here.,,"Michael Vi

The case to buy Zscaler shares now

Has the long awaited consolidation trade finally arrived? Tuesday, March 5th, was not a pleasant day on which to...",https://seekingalpha.com/article/4677735-zscaler-this-is-a-dip-well-worth-buying,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1310211442/image_1310211442.jpg?io=getty-c-w1536,en,2024-03-12 22:13:34+00:00,seekingalpha.com,,AAPL
2024-03-12,0aab2e29-11cf-49b7-8561-37903d2d8476,Arm Rival SiFive Expects Licensing Revenue to Surge This Year,"(Bloomberg) -- SiFive Inc., a money-losing chip designer that competes with Arm Holdings Plc, expects to boost its licensing revenue to $60 million this year while striking at least $180 million worth of lifetime royalty deals.Most Read from BloombergStock Traders Bracing for Worst Shrug Off Hot CPI: Markets WrapOne of the Most Infamous Trades on Wall Street Is Roaring BackChina Has Never Canceled This Many Shipments of US WheatUS Core Inflation Tops Forecasts Again, Reinforcing Fed CautionEx-Wa",,"(Bloomberg) -- SiFive Inc., a money-losing chip designer that competes with Arm Holdings Plc, expects to boost its licensing revenue to $60 million this year wh...",https://finance.yahoo.com/news/arm-rival-sifive-expects-licensing-221723705.html?.tsrc=rss,https://s.yimg.com/ny/api/res/1.2/OqxWbCXtvrbq0zrh28lY1w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_markets_842/09e1ee7c4868cb3d273486bad2d2c986,en,2024-03-12 22:17:23+00:00,finance.yahoo.com,,AAPL
2024-03-14,4d9e762e-f6d4-4100-8071-d9de235346af,Market Open: Brace yourselves for ASX200 fall,Futures have been pointing to a 0.7 per cent drop after all US markets closed in the red off the back of higher-than-expected inflation data.,,"Join our daily newsletter At The Bell to receive exclusive market insights

ASX200 investors: Brace yourselves for market falls today!

Futures have been pointi...",https://themarketonline.com.au/market-open-brace-yourselves-for-asx200-fall-2024-03-15/,https://themarketonline.com.au/wp-content/uploads/2024/02/og-49094-Thumb-MO-1280x720.jpg,en,2024-03-14 22:18:45+00:00,themarketherald.com.au,,AAPL
